id,lon,lat
pt_ll_1,11.0,61.0
pt_ll_2,12.833,61.333
pt_ll_3,13.0,61.0
pt_ll_4,14.5,61.5
pt_ll_5,16.333,61.5
pt_ll_6,11.0,61.0
pt_ll_7,11.333,60.667
pt_ll_8,11.25,60.25
pt_ll_9,10.5,60.0
pt_ll_10,10.5,59.5
pt_ll_11,9.5,59.5
pt_ll_12,9.667,58.667
pt_ll_13,8.0,58.0
pt_ll_14,7.667,57.75
pt_ll_15,7.667,57.75
pt_ll_16,11.25,57.0
pt_ll_17,12.5,57.5
pt_ll_18,14.0,57.833
pt_ll_19,14.0,57.833
pt_ll_20,13.667,58.667
pt_ll_21,13.5,58.667
pt_ll_22,13.167,59.0
pt_ll_23,14.0,59.5
pt_ll_24,14.667,59.667
pt_ll_25,15.0,60.0
pt_ll_26,15.0,60.25
pt_ll_27,15.333,60.667
pt_ll_28,13.0,60.333
pt_ll_29,12.0,59.75
pt_ll_30,13.0,59.25
pt_ll_31,11.5,58.667
pt_ll_32,11.0,59.5
pt_ll_33,12.5,58.75
pt_ll_34,11.0,58.167
pt_ll_35,15.0,62.0
pt_ll_5143,15.667,62.0
pt_ll_36,17.0,62.0
pt_ll_37,17.5,62.5
pt_ll_38,18.5,62.0
pt_ll_39,17.667,61.5
pt_ll_40,15.0,57.667
pt_ll_41,15.0,59.5
pt_ll_42,15.0,59.0
pt_ll_43,21.0,61.667
pt_ll_44,20.5,60.833
pt_ll_45,21.333,60.5
pt_ll_46,22.25,59.333
pt_ll_47,24.0,60.0
pt_ll_48,23.0,60.667
pt_ll_49,24.5,60.667
pt_ll_50,27.0,60.667
pt_ll_51,29.0,60.5
pt_ll_52,30.0,60.5
pt_ll_53,31.333,60.25
pt_ll_5761,20.0,61.667
pt_ll_54,19.333,61.0
pt_ll_55,19.0,60.5
pt_ll_56,18.0,60.0
pt_ll_57,18.333,59.5
pt_ll_58,18.5,58.75
pt_ll_59,17.5,58.333
pt_ll_60,17.333,57.75
pt_ll_61,17.5,57.333
pt_ll_62,17.0,57.0
pt_ll_63,15.0,56.0
pt_ll_64,15.667,56.333
pt_ll_65,15.333,55.5
pt_ll_66,15.0,55.0
pt_ll_67,14.333,54.5
pt_ll_68,15.5,54.5
pt_ll_69,16.5,54.5
pt_ll_70,17.333,54.5
pt_ll_71,16.0,53.5
pt_ll_72,14.0,52.75
pt_ll_73,11.5,52.5
pt_ll_74,12.0,51.5
pt_ll_75,14.0,51.75
pt_ll_76,15.667,52.167
pt_ll_77,17.667,52.333
pt_ll_78,17.667,52.667
pt_ll_79,19.0,53.0
pt_ll_80,20.333,53.0
pt_ll_81,21.0,53.5
pt_ll_82,22.0,54.0
pt_ll_83,31.0,60.0
pt_ll_84,30.5,59.667
pt_ll_85,30.0,59.667
pt_ll_86,29.0,59.667
pt_ll_87,27.0,59.667
pt_ll_88,27.5,59.667
pt_ll_89,27.0,59.0
pt_ll_90,27.0,58.75
pt_ll_91,27.5,58.5
pt_ll_92,26.0,58.5
pt_ll_93,25.0,58.833
pt_ll_94,24.0,58.5
pt_ll_95,22.5,59.0
pt_ll_96,21.333,58.5
pt_ll_97,20.167,58.5
pt_ll_98,20.25,57.5
pt_ll_99,21.0,57.0
pt_ll_100,21.25,56.667
pt_ll_101,21.0,56.5
pt_ll_102,20.5,55.667
pt_ll_103,20.833,55.667
pt_ll_104,21.25,55.083
pt_ll_105,20.167,55.0
pt_ll_106,20.5,54.5
pt_ll_107,22.0,54.0
pt_ll_108,19.0,60.333
pt_ll_109,20.167,60.667
pt_ll_110,19.0,59.5
pt_ll_111,18.5,59.333
pt_ll_112,20.0,59.667
pt_ll_113,19.0,59.0
pt_ll_114,20.75,59.167
pt_ll_115,21.333,60.0
pt_ll_116,21.5,59.333
pt_ll_5144,22.75,59.833
pt_ll_117,23.0,59.5
pt_ll_118,23.5,59.0
pt_ll_119,20.167,59.0
pt_ll_120,23.0,58.667
pt_ll_121,21.0,58.75
pt_ll_122,24.0,59.5
pt_ll_123,25.0,59.333
pt_ll_124,27.25,59.333
pt_ll_125,26.75,59.167
pt_ll_126,24.0,58.75
pt_ll_127,26.0,59.0
pt_ll_128,18.5,58.5
pt_ll_129,17.833,58.0
pt_ll_130,20.0,58.0
pt_ll_131,19.0,57.75
pt_ll_132,20.0,57.667
pt_ll_133,18.0,57.5
pt_ll_134,19.0,57.5
pt_ll_5145,20.0,57.333
pt_ll_135,18.0,57.75
pt_ll_136,20.667,56.667
pt_ll_137,16.75,56.667
pt_ll_138,16.75,56.25
pt_ll_5146,17.5,56.75
pt_ll_139,16.75,55.75
pt_ll_140,18.667,56.5
pt_ll_141,18.0,55.5
pt_ll_142,20.75,55.833
pt_ll_143,19.333,55.5
pt_ll_144,20.5,55.333
pt_ll_145,21.0,55.0
pt_ll_146,15.75,55.167
pt_ll_147,15.5,54.667
pt_ll_148,16.833,55.0
pt_ll_149,18.0,54.167
pt_ll_150,19.0,54.25
pt_ll_151,20.0,54.0
pt_ll_152,21.0,54.0
pt_ll_153,21.75,54.0
pt_ll_154,19.75,53.083
pt_ll_155,16.0,53.667
pt_ll_156,17.333,53.667
pt_ll_157,18.667,53.0
pt_ll_158,18.0,52.667
pt_ll_159,14.75,52.0
pt_ll_160,15.0,52.75
pt_ll_161,15.0,52.25
pt_ll_162,17.5,52.75
pt_ll_163,32.667,60.75
pt_ll_164,30.0,61.333
pt_ll_165,30.0,61.667
pt_ll_166,29.0,63.0
pt_ll_167,31.667,63.0
pt_ll_168,30.333,63.25
pt_ll_169,30.333,62.667
pt_ll_170,30.333,63.0
pt_ll_171,23.0,54.333
pt_ll_172,24.0,54.5
pt_ll_173,19.333,52.333
pt_ll_174,4.333,37.5
pt_ll_175,6.333,39.0
pt_ll_176,9.0,39.0
pt_ll_177,12.0,37.25
pt_ll_178,14.0,40.0
pt_ll_179,4.667,37.333
pt_ll_180,5.333,37.0
pt_ll_181,12.0,38.5
pt_ll_182,6.0,36.75
pt_ll_183,6.0,36.333
pt_ll_184,5.75,36.083
pt_ll_185,6.167,36.167
pt_ll_186,6.25,36.083
pt_ll_187,6.5,36.083
pt_ll_188,6.833,36.083
pt_ll_189,7.25,36.167
pt_ll_190,7.5,36.167
pt_ll_5646,7.5,36.25
pt_ll_191,7.667,36.333
pt_ll_192,8.0,36.917
pt_ll_193,8.5,37.0
pt_ll_194,8.833,37.5
pt_ll_195,9.25,37.25
pt_ll_196,9.75,37.25
pt_ll_197,10.25,37.25
pt_ll_198,10.833,37.083
pt_ll_199,10.75,37.167
pt_ll_200,11.333,37.083
pt_ll_201,11.5,36.833
pt_ll_202,11.75,37.167
pt_ll_203,9.167,38.833
pt_ll_204,9.5,38.667
pt_ll_205,9.0,38.5
pt_ll_206,9.75,38.167
pt_ll_207,9.25,38.167
pt_ll_208,10.0,38.25
pt_ll_209,9.333,38.083
pt_ll_210,9.5,38.0
pt_ll_211,10.167,38.0
pt_ll_212,8.75,37.75
pt_ll_213,8.667,37.417
pt_ll_214,8.25,37.333
pt_ll_215,8.75,37.333
pt_ll_216,8.0,37.167
pt_ll_217,7.5,37.0
pt_ll_218,7.0,36.667
pt_ll_5147,6.25,36.917
pt_ll_219,6.167,36.333
pt_ll_220,9.667,38.0
pt_ll_221,9.667,37.75
pt_ll_222,9.5,37.5
pt_ll_223,9.833,37.5
pt_ll_224,9.667,37.417
pt_ll_225,10.167,37.75
pt_ll_226,10.25,37.5
pt_ll_5150,10.417,37.833
pt_ll_227,10.25,37.333
pt_ll_228,11.0,37.667
pt_ll_229,4.667,38.0
pt_ll_230,4.667,37.75
pt_ll_231,5.0,37.25
pt_ll_232,5.167,38.25
pt_ll_233,5.667,38.333
pt_ll_234,6.0,38.0
pt_ll_235,6.5,37.75
pt_ll_236,5.5,37.5
pt_ll_237,5.667,37.5
pt_ll_238,5.667,37.333
pt_ll_239,5.5,37.167
pt_ll_240,6.0,37.0
pt_ll_241,6.083,38.333
pt_ll_242,6.5,38.083
pt_ll_5148,7.0,38.0
pt_ll_243,6.333,37.833
pt_ll_244,7.0,37.667
pt_ll_245,6.5,37.5
pt_ll_246,6.667,37.25
pt_ll_247,7.0,37.167
pt_ll_248,6.5,37.083
pt_ll_249,6.5,36.833
pt_ll_250,7.0,38.833
pt_ll_251,7.667,38.917
pt_ll_252,7.167,38.917
pt_ll_253,8.0,38.667
pt_ll_254,7.0,38.417
pt_ll_255,7.333,38.333
pt_ll_256,7.667,38.167
pt_ll_257,7.25,37.833
pt_ll_258,8.0,37.75
pt_ll_259,7.667,37.5
pt_ll_260,7.167,37.5
pt_ll_261,7.5,37.083
pt_ll_262,7.25,37.083
pt_ll_263,8.5,38.833
pt_ll_264,8.667,38.583
pt_ll_265,8.583,38.417
pt_ll_266,8.25,38.333
pt_ll_267,8.167,38.0
pt_ll_268,5.833,38.833
pt_ll_269,6.5,38.833
pt_ll_270,6.5,38.667
pt_ll_271,6.5,38.417
pt_ll_272,6.25,38.417
pt_ll_273,6.0,37.667
pt_ll_274,7.333,37.5
pt_ll_275,5.167,36.167
pt_ll_5762,5.333,41.833
pt_ll_276,9.167,41.833
pt_ll_277,11.667,41.667
pt_ll_278,3.667,37.75
pt_ll_279,3.0,37.833
pt_ll_280,2.5,38.25
pt_ll_281,5.0,39.0
pt_ll_282,5.083,39.417
pt_ll_283,4.917,39.5
pt_ll_284,4.833,39.833
pt_ll_285,5.167,40.25
pt_ll_286,5.5,40.5
pt_ll_287,9.0,40.5
pt_ll_288,11.667,40.75
pt_ll_289,5.0,40.667
pt_ll_290,5.167,40.833
pt_ll_291,5.167,41.333
pt_ll_292,5.333,41.833
pt_ll_293,5.333,39.0
pt_ll_294,5.25,38.75
pt_ll_295,5.75,40.25
pt_ll_296,5.333,40.0
pt_ll_297,6.0,40.0
pt_ll_298,5.333,39.75
pt_ll_299,5.667,39.583
pt_ll_300,6.167,39.667
pt_ll_301,5.667,39.333
pt_ll_302,6.167,39.333
pt_ll_303,6.167,39.083
pt_ll_304,5.5,41.75
pt_ll_305,5.667,41.5
pt_ll_306,6.0,41.333
pt_ll_307,6.5,41.25
pt_ll_308,6.667,41.5
pt_ll_309,7.25,41.083
pt_ll_310,6.667,41.083
