id,lon,lat
pt_ll_1,7.92,54.0
pt_ll_2,9.24,54.239999999999995
pt_ll_3,9.36,54.0
pt_ll_4,10.44,54.36
pt_ll_5,11.76,54.36
pt_ll_6,7.92,54.0
pt_ll_7,8.16,53.76
pt_ll_8,8.1,53.46
pt_ll_9,7.56,53.28
pt_ll_10,7.56,52.92
pt_ll_11,6.84,52.92
pt_ll_12,6.96,52.32
pt_ll_13,5.76,51.839999999999996
pt_ll_14,5.52,51.66
pt_ll_15,5.52,51.66
pt_ll_16,8.1,51.12
pt_ll_17,9.0,51.48
pt_ll_18,10.08,51.72
pt_ll_19,10.08,51.72
pt_ll_20,9.84,52.32
pt_ll_21,9.72,52.32
pt_ll_22,9.48,52.559999999999995
pt_ll_23,10.08,52.92
pt_ll_24,10.56,53.04
pt_ll_25,10.8,53.28
pt_ll_26,10.8,53.46
pt_ll_27,11.04,53.76
pt_ll_28,9.36,53.519999999999996
pt_ll_29,8.64,53.1
pt_ll_30,9.36,52.739999999999995
pt_ll_31,8.28,52.32
pt_ll_32,7.92,52.92
pt_ll_33,9.0,52.379999999999995
pt_ll_34,7.92,51.96
pt_ll_35,10.8,54.72
pt_ll_5143,11.28,54.72
pt_ll_36,12.24,54.72
pt_ll_37,12.6,55.08
pt_ll_38,13.32,54.72
pt_ll_39,12.72,54.36
pt_ll_40,10.8,51.6
pt_ll_41,10.8,52.92
pt_ll_42,10.8,52.559999999999995
pt_ll_43,15.12,54.48
pt_ll_44,14.76,53.879999999999995
pt_ll_45,15.36,53.64
pt_ll_46,16.02,52.8
pt_ll_47,17.28,53.28
pt_ll_48,16.56,53.76
pt_ll_49,17.64,53.76
pt_ll_50,19.44,53.76
pt_ll_51,20.88,53.64
pt_ll_52,21.6,53.64
pt_ll_53,22.56,53.46
pt_ll_5761,14.4,54.48
pt_ll_54,13.92,54.0
pt_ll_55,13.68,53.64
pt_ll_56,12.96,53.28
pt_ll_57,13.2,52.92
pt_ll_58,13.32,52.379999999999995
pt_ll_59,12.6,52.08
pt_ll_60,12.48,51.66
pt_ll_61,12.6,51.36
pt_ll_62,12.24,51.12
pt_ll_63,10.8,50.4
pt_ll_64,11.28,50.64
pt_ll_65,11.04,50.04
pt_ll_66,10.8,49.68
pt_ll_67,10.32,49.32
pt_ll_68,11.16,49.32
pt_ll_69,11.88,49.32
pt_ll_70,12.48,49.32
pt_ll_71,11.52,48.6
