id,lon,lat
pt_ll_1,7.92,43.92
pt_ll_2,9.24,44.16
pt_ll_3,9.36,43.92
pt_ll_4,10.44,44.28
pt_ll_5,11.76,44.28
pt_ll_6,7.92,43.92
pt_ll_7,8.16,43.68
pt_ll_8,8.1,43.38
pt_ll_9,7.56,43.2
pt_ll_10,7.56,42.84
pt_ll_11,6.84,42.84
pt_ll_12,6.96,42.24
pt_ll_13,5.76,41.76
pt_ll_14,5.52,41.58
pt_ll_15,5.52,41.58
pt_ll_16,8.1,41.04
pt_ll_17,9.0,41.4
pt_ll_18,10.08,41.64
pt_ll_19,10.08,41.64
pt_ll_20,9.84,42.24
pt_ll_21,9.72,42.24
pt_ll_22,9.48,42.48
pt_ll_23,10.08,42.84
pt_ll_24,10.56,42.96
pt_ll_25,10.8,43.2
pt_ll_26,10.8,43.38
pt_ll_27,11.04,43.68
pt_ll_28,9.36,43.44
pt_ll_29,8.64,43.02
pt_ll_30,9.36,42.66
pt_ll_31,8.28,42.24
pt_ll_32,7.92,42.84
pt_ll_33,9.0,42.3
pt_ll_34,7.92,41.88
pt_ll_35,10.8,44.64
pt_ll_5143,11.28,44.64
pt_ll_36,12.24,44.64
pt_ll_37,12.6,45.0
pt_ll_38,13.32,44.64
pt_ll_39,12.72,44.28
pt_ll_40,10.8,41.52
pt_ll_41,10.8,42.84
pt_ll_42,10.8,42.48
pt_ll_43,15.12,44.4
pt_ll_44,14.76,43.8
pt_ll_45,15.36,43.56
pt_ll_46,16.02,42.72
pt_ll_47,17.28,43.2
pt_ll_48,16.56,43.68
pt_ll_49,17.64,43.68
pt_ll_50,19.44,43.68
pt_ll_51,20.88,43.56
pt_ll_52,21.6,43.56
pt_ll_53,22.56,43.38
pt_ll_5761,14.4,44.4
pt_ll_54,13.92,43.92
pt_ll_55,13.68,43.56
pt_ll_56,12.96,43.2
pt_ll_57,13.2,42.84
pt_ll_58,13.32,42.3
pt_ll_59,12.6,42.0
pt_ll_60,12.48,41.58
pt_ll_61,12.6,41.28
pt_ll_62,12.24,41.04
pt_ll_63,10.8,40.32
pt_ll_64,11.28,40.56
pt_ll_65,11.04,39.96
pt_ll_66,10.8,39.6
pt_ll_67,10.32,39.24
pt_ll_68,11.16,39.24
pt_ll_69,11.88,39.24
pt_ll_70,12.48,39.24
pt_ll_71,11.52,38.52
pt_ll_72,10.08,37.98
pt_ll_73,8.28,37.8
pt_ll_74,8.64,37.08
pt_ll_75,10.08,37.26
pt_ll_76,11.28,37.56
pt_ll_77,12.72,37.68
pt_ll_78,12.72,37.92
pt_ll_79,13.68,38.16
pt_ll_80,14.64,38.16
pt_ll_81,15.12,38.52
pt_ll_82,15.84,38.88
pt_ll_83,22.32,43.2
pt_ll_84,21.96,42.96
pt_ll_85,21.6,42.96
pt_ll_86,20.88,42.96
pt_ll_87,19.44,42.96
pt_ll_88,19.8,42.96
pt_ll_89,19.44,42.48
pt_ll_90,19.44,42.3
pt_ll_91,19.8,42.12
pt_ll_92,18.72,42.12
pt_ll_93,18.0,42.36
pt_ll_94,17.28,42.12
pt_ll_95,16.2,42.48
pt_ll_96,15.36,42.12
pt_ll_97,14.52,42.12
pt_ll_98,14.58,41.4
pt_ll_99,15.12,41.04
pt_ll_100,15.3,40.8
pt_ll_101,15.12,40.68
pt_ll_102,14.76,40.08
pt_ll_103,15.0,40.08
pt_ll_104,15.3,39.66
pt_ll_105,14.52,39.6
pt_ll_106,14.76,39.24
pt_ll_107,15.84,38.88
pt_ll_108,13.68,43.44
pt_ll_109,14.52,43.68
pt_ll_110,13.68,42.84
pt_ll_111,13.32,42.72
pt_ll_112,14.4,42.96
pt_ll_113,13.68,42.48
pt_ll_114,14.94,42.6
pt_ll_115,15.36,43.2
pt_ll_116,15.48,42.72
pt_ll_5144,16.38,43.08
pt_ll_117,16.56,42.84
pt_ll_118,16.92,42.48
pt_ll_119,14.52,42.48
pt_ll_120,16.56,42.24
pt_ll_121,15.12,42.3
pt_ll_122,17.28,42.84
pt_ll_123,18.0,42.72
pt_ll_124,19.62,42.72
pt_ll_125,19.26,42.6
pt_ll_126,17.28,42.3
pt_ll_127,18.72,42.48
pt_ll_128,13.32,42.12
pt_ll_129,12.84,41.76
pt_ll_130,14.4,41.76
pt_ll_131,13.68,41.58
pt_ll_132,14.4,41.52
pt_ll_133,12.96,41.4
pt_ll_134,13.68,41.4
pt_ll_5145,14.4,41.28
pt_ll_135,12.96,41.58
pt_ll_136,14.88,40.8
pt_ll_137,12.06,40.8
pt_ll_138,12.06,40.5
pt_ll_5146,12.6,40.86
pt_ll_139,12.06,40.14
pt_ll_140,13.44,40.68
pt_ll_141,12.96,39.96
pt_ll_142,14.94,40.2
pt_ll_143,13.92,39.96
pt_ll_144,14.76,39.84
pt_ll_145,15.12,39.6
pt_ll_146,11.34,39.72
pt_ll_147,11.16,39.36
pt_ll_148,12.12,39.6
pt_ll_149,12.96,39.0
pt_ll_150,13.68,39.06
pt_ll_151,14.4,38.88
pt_ll_152,15.12,38.88
pt_ll_153,15.66,38.88
pt_ll_154,14.22,38.22
pt_ll_155,11.52,38.64
pt_ll_156,12.48,38.64
pt_ll_157,13.44,38.16
pt_ll_158,12.96,37.92
pt_ll_159,10.62,37.44
pt_ll_160,10.8,37.98
pt_ll_161,10.8,37.62
pt_ll_162,12.6,37.98
pt_ll_163,23.52,43.74
pt_ll_164,21.6,44.16
pt_ll_165,21.6,44.4
pt_ll_166,20.88,45.36
pt_ll_167,22.8,45.36
pt_ll_168,21.84,45.54
pt_ll_169,21.84,45.12
pt_ll_170,21.84,45.36
pt_ll_171,16.56,39.12
pt_ll_172,17.28,39.24
pt_ll_173,13.92,37.68
pt_ll_174,3.12,27.0
pt_ll_175,4.56,28.08
pt_ll_176,6.48,28.08
pt_ll_177,8.64,26.82
pt_ll_178,10.08,28.8
pt_ll_179,3.36,26.88
pt_ll_180,3.84,26.64
pt_ll_181,8.64,27.72
pt_ll_182,4.32,26.46
pt_ll_183,4.32,26.16
pt_ll_184,4.14,25.98
pt_ll_185,4.44,26.04
pt_ll_186,4.5,25.98
pt_ll_187,4.68,25.98
pt_ll_188,4.92,25.98
pt_ll_189,5.22,26.04
pt_ll_190,5.4,26.04
pt_ll_5646,5.4,26.1
pt_ll_191,5.52,26.16
pt_ll_192,5.76,26.58
pt_ll_193,6.12,26.64
pt_ll_194,6.36,27.0
pt_ll_195,6.66,26.82
pt_ll_196,7.02,26.82
pt_ll_197,7.38,26.82
pt_ll_198,7.8,26.7
pt_ll_199,7.74,26.76
pt_ll_200,8.16,26.7
pt_ll_201,8.28,26.52
pt_ll_202,8.46,26.76
pt_ll_203,6.6,27.96
pt_ll_204,6.84,27.84
pt_ll_205,6.48,27.72
pt_ll_206,7.02,27.48
pt_ll_207,6.66,27.48
pt_ll_208,7.2,27.54
pt_ll_209,6.72,27.42
pt_ll_210,6.84,27.36
pt_ll_211,7.32,27.36
pt_ll_212,6.3,27.18
pt_ll_213,6.24,26.94
pt_ll_214,5.94,26.88
pt_ll_215,6.3,26.88
pt_ll_216,5.76,26.76
pt_ll_217,5.4,26.64
pt_ll_218,5.04,26.4
pt_ll_5147,4.5,26.58
pt_ll_219,4.44,26.16
pt_ll_220,6.96,27.36
pt_ll_221,6.96,27.18
pt_ll_222,6.84,27.0
pt_ll_223,7.08,27.0
pt_ll_224,6.96,26.94
pt_ll_225,7.32,27.18
pt_ll_226,7.38,27.0
pt_ll_5150,7.5,27.24
pt_ll_227,7.38,26.88
pt_ll_228,7.92,27.12
pt_ll_229,3.36,27.36
pt_ll_230,3.36,27.18
pt_ll_231,3.6,26.82
pt_ll_232,3.72,27.54
pt_ll_233,4.08,27.6
pt_ll_234,4.32,27.36
pt_ll_235,4.68,27.18
pt_ll_236,3.96,27.0
pt_ll_237,4.08,27.0
pt_ll_238,4.08,26.88
pt_ll_239,3.96,26.76
pt_ll_240,4.32,26.64
pt_ll_241,4.38,27.6
pt_ll_242,4.68,27.42
pt_ll_5148,5.04,27.36
pt_ll_243,4.56,27.24
pt_ll_244,5.04,27.12
pt_ll_245,4.68,27.0
pt_ll_246,4.8,26.82
pt_ll_247,5.04,26.76
pt_ll_248,4.68,26.7
pt_ll_249,4.68,26.52
pt_ll_250,5.04,27.96
pt_ll_251,5.52,28.02
pt_ll_252,5.16,28.02
pt_ll_253,5.76,27.84
pt_ll_254,5.04,27.66
pt_ll_255,5.28,27.6
pt_ll_256,5.52,27.48
pt_ll_257,5.22,27.24
pt_ll_258,5.76,27.18
pt_ll_259,5.52,27.0
pt_ll_260,5.16,27.0
pt_ll_261,5.4,26.7
pt_ll_262,5.22,26.7
pt_ll_263,6.12,27.96
pt_ll_264,6.24,27.78
pt_ll_265,6.18,27.66
pt_ll_266,5.94,27.6
pt_ll_267,5.88,27.36
pt_ll_268,4.2,27.96
pt_ll_269,4.68,27.96
pt_ll_270,4.68,27.84
pt_ll_271,4.68,27.66
pt_ll_272,4.5,27.66
pt_ll_273,4.32,27.12
pt_ll_274,5.28,27.0
pt_ll_275,3.72,26.04
pt_ll_5762,3.84,30.12
pt_ll_276,6.6,30.12
pt_ll_277,8.4,30.0
pt_ll_278,2.64,27.18
pt_ll_279,2.16,27.24
pt_ll_280,1.8,27.54
pt_ll_281,3.6,28.08
pt_ll_282,3.66,28.38
pt_ll_283,3.54,28.44
pt_ll_284,3.48,28.68
pt_ll_285,3.72,28.98
pt_ll_286,3.96,29.16
pt_ll_287,6.48,29.16
pt_ll_288,8.4,29.34
pt_ll_289,3.6,29.28
pt_ll_290,3.72,29.4
pt_ll_291,3.72,29.76
pt_ll_292,3.84,30.12
pt_ll_293,3.84,28.08
pt_ll_294,3.78,27.9
pt_ll_295,4.14,28.98
pt_ll_296,3.84,28.8
pt_ll_297,4.32,28.8
pt_ll_298,3.84,28.62
pt_ll_299,4.08,28.5
pt_ll_300,4.44,28.56
pt_ll_301,4.08,28.32
pt_ll_302,4.44,28.32
pt_ll_303,4.44,28.14
pt_ll_304,3.96,30.06
pt_ll_305,4.08,29.88
pt_ll_306,4.32,29.76
pt_ll_307,4.68,29.7
pt_ll_308,4.8,29.88
pt_ll_309,5.22,29.58
pt_ll_310,4.8,29.58
pt_ll_311,5.28,29.52
pt_ll_312,3.96,29.28
pt_ll_313,4.08,29.16
pt_ll_314,4.32,29.46
pt_ll_315,4.56,29.34
pt_ll_316,4.8,29.16
pt_ll_317,5.4,29.34
pt_ll_318,5.52,29.16
pt_ll_319,4.92,28.98
pt_ll_320,4.8,28.8
pt_ll_321,5.76,28.98
pt_ll_322,5.28,28.8
pt_ll_323,4.92,28.62
pt_ll_324,4.8,28.44
pt_ll_325,5.04,28.32
pt_ll_326,5.04,28.14
pt_ll_327,5.64,28.74
pt_ll_328,5.28,28.56
pt_ll_329,5.76,28.44
pt_ll_330,5.28,28.26
pt_ll_331,5.52,28.14
pt_ll_332,6.12,28.44
pt_ll_333,6.24,28.2
pt_ll_334,6.12,30.0
pt_ll_335,5.76,29.88
