passage	continent	province	siteType	id	text	lon	lonDeg	lonFract	lat	latDeg	latFract	adjustedLon	adjustedLat
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.1/	Europe	hibernia	paralios	pt_ll_1	Βόρειον ἄκρον (Boreion akron)	11.0	11	0.0	61.0	61	0.0	-5.4	54.0
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.1/	Europe	hibernia	paralios	pt_ll_2	Οὐεννίκνιον ἄκρον (Ouenniknion akron)	12.833	12	0.833	61.333	61	0.333	-4.08	54.239999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.1/	Europe	hibernia	paralios	pt_ll_3	Οὐιδούα ποταμοῦ ἐκβολαί (Ouidoua potamou ekbolai)	13.0	13	0.0	61.0	61	0.0	-3.960000000000001	54.0
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.1/	Europe	hibernia	paralios	pt_ll_4	Ἀργίτα ποταμοῦ ἐκβολαί (Argita potamou ekbolai)	14.5	14	0.5	61.5	61	0.5	-2.880000000000001	54.36
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.1/	Europe	hibernia	paralios	pt_ll_5	Ῥοβόγδιον ἄκρον (Rhobogdion akron)	16.333	16	0.333	61.5	61	0.5	-1.5600000000000005	54.36
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_6	 τὸ Βόρειον ἄκρον ( to Boreion akron)	11.0	11	0.0	61.0	61	0.0	-5.4	54.0
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_7	Ῥαουίου ποταμοῦ ἐκβολαί (Rhaouiou potamou ekbolai)	11.333	11	0.333	60.667	60	0.667	-5.16	53.76
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_8	Μάγνατα πόλις [ἐπίσημος] (Magnata polis [episēmos])	11.25	11	0.25	60.25	60	0.25	-5.220000000000001	53.46
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_9	Λιβνίου ποταμοῦ ἐκβολαί (Libniou potamou ekbolai)	10.5	10	0.5	60.0	60	0.0	-5.760000000000001	53.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_10	Αὐσόβα ποταμοῦ ἐκβολαί (Ausoba potamou ekbolai)	10.5	10	0.5	59.5	59	0.5	-5.760000000000001	52.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_11	Σήνου ποταμοῦ ἐκβολαί (Sēnou potamou ekbolai)	9.5	9	0.5	59.5	59	0.5	-6.48	52.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_12	Δοὺρ ποταμοῦ ἐκβολαί (Dour potamou ekbolai)	9.667	9	0.667	58.667	58	0.667	-6.36	52.32
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_13	Ἰέρνου ποταμοῦ ἐκβολαί (Iernou potamou ekbolai)	8.0	8	0.0	58.0	58	0.0	-7.5600000000000005	51.839999999999996
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.3/	Europe	hibernia	paralios	pt_ll_14	Νότιον ἄκρον (Notion akron)	7.667	7	0.667	57.75	57	0.75	-7.800000000000001	51.66
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.5/	Europe	hibernia	paralios	pt_ll_15	τὸ Νότιον ἄκρον (to Notion akron)	7.667	7	0.667	57.75	57	0.75	-7.800000000000001	51.66
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.5/	Europe	hibernia	paralios	pt_ll_16	Δαβρώνα ποταμοῦ ἐκβολαί (Dabrōna potamou ekbolai)	11.25	11	0.25	57.0	57	0.0	-5.220000000000001	51.12
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.5/	Europe	hibernia	paralios	pt_ll_17	Βίργου ποταμοῦ ἐκβολαί (Birgou potamou ekbolai)	12.5	12	0.5	57.5	57	0.5	-4.32	51.48
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.5/	Europe	hibernia	paralios	pt_ll_18	Ἱερὸν ἄκρον. (Hieron akron.)	14.0	14	0.0	57.833	57	0.833	-3.24	51.72
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_19	τὸ Ἱερὸν ἄκρον (to Hieron akron)	14.0	14	0.0	57.833	57	0.833	-3.24	51.72
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_20	Μοδόννου ποταμοῦ ἐκβολαί (Modonnou potamou ekbolai)	13.667	13	0.667	58.667	58	0.667	-3.4800000000000004	52.32
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_21	Μαναπία πόλις (Manapia polis)	13.5	13	0.5	58.667	58	0.667	-3.5999999999999996	52.32
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_22	Ὀβόκα ποταμοῦ ἐκβολαί (Oboka potamou ekbolai)	13.167	13	0.167	59.0	59	0.0	-3.84	52.559999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_23	Ἔβλανα πόλις (Eblana polis)	14.0	14	0.0	59.5	59	0.5	-3.24	52.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_24	Βουουίνδα ποταμοῦ ἐκβολαί (Bououinda potamou ekbolai)	14.667	14	0.667	59.667	59	0.667	-2.76	53.04
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_25	Ἰσάμνιον [ἄκρον] (Isamnion [akron])	15.0	15	0.0	60.0	60	0.0	-2.5199999999999996	53.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_26	Οὐινδέριος ποταμοῦ ἐκβολαί (Ouinderios potamou ekbolai)	15.0	15	0.0	60.25	60	0.25	-2.5199999999999996	53.46
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.7/	Europe	hibernia	paralios	pt_ll_27	Λογία ποταμοῦ ἐκβολαί (Logia potamou ekbolai)	15.333	15	0.333	60.667	60	0.667	-2.280000000000001	53.76
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_28	Ῥηγία (Rhēgia)	13.0	13	0.0	60.333	60	0.333	-3.960000000000001	53.519999999999996
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_29	Ῥαῖβα (Rhaiba)	12.0	12	0.0	59.75	59	0.75	-4.68	53.1
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_30	Λάβηρος (Labēros)	13.0	13	0.0	59.25	59	0.25	-3.960000000000001	52.739999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_31	Μακόλικον (Makolikon)	11.5	11	0.5	58.667	58	0.667	-5.040000000000001	52.32
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_32	Ῥηγία ἑτέρα (Rhēgia hetera)	11.0	11	0.0	59.5	59	0.5	-5.4	52.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_33	Δοῦνον (Dounon)	12.5	12	0.5	58.75	58	0.75	-4.32	52.379999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.9/	Europe	hibernia	interior-poleis	pt_ll_34	Ἰουερνίς (Iouernis)	11.0	11	0.0	58.167	58	0.167	-5.4	51.96
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_35	Αἰβοῦδα (Aibouda)	15.0	15	0.0	62.0	62	0.0	-2.5199999999999996	54.72
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_5143	Αἰβοῦδα (Aibouda)	15.667	15	0.667	62.0	62	0.0	-2.040000000000001	54.72
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_36	Ῥικίνα (Rhikina)	17.0	17	0.0	62.0	62	0.0	-1.08	54.72
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_37	Μαλαῖος (Malaios)	17.5	17	0.5	62.5	62	0.5	-0.7200000000000006	55.08
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_38	Ἐπίδιον (Epidion)	18.5	18	0.5	62.0	62	0.0	0.0	54.72
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_39	Μονάοιδα (Monaoida)	17.667	17	0.667	61.5	61	0.5	-0.5999999999999996	54.36
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_40	Μόνα νῆσος (Mona nēsos)	15.0	15	0.0	57.667	57	0.667	-2.5199999999999996	51.6
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_41	Ἄδρου ἔρημος (Adrou erēmos)	15.0	15	0.0	59.5	59	0.5	-2.5199999999999996	52.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.2.10/	Europe	hibernia	islands	pt_ll_42	Λίμνου ἔρημος (Limnou erēmos)	15.0	15	0.0	59.0	59	0.0	-2.5199999999999996	52.559999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_43	Νοουαντῶν χερσόνησος καὶ ὁμώνυμον ἄκρον (Noouantōn khersonēsos kai homōnumon akron)	21.0	21	0.0	61.667	61	0.667	1.799999999999999	54.48
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_44	Ῥεριγόνιος κόλπος (Rherigonios kolpos)	20.5	20	0.5	60.833	60	0.833	1.4399999999999995	53.879999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_45	Οὐινδόγαρα κόλπος (Ouindogara kolpos)	21.333	21	0.333	60.5	60	0.5	2.039999999999999	53.64
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_46	Κλώτα εἴσχυσις (Klōta eiskhusis)	22.25	22	0.25	59.333	59	0.333	2.6999999999999993	52.8
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_47	Λεμαννόνιος κόλπος (Lemannonios kolpos)	24.0	24	0.0	60.0	60	0.0	3.960000000000001	53.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_48	Ἐπίδιον ἄκρον (Epidion akron)	23.0	23	0.0	60.667	60	0.667	3.2399999999999984	53.76
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_49	Λόγγου ποταμοῦ ἐκβολαί (Loggou potamou ekbolai)	24.5	24	0.5	60.667	60	0.667	4.32	53.76
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_50	Ἴτιος ποταμοῦ ἐκβολαί (Itios potamou ekbolai)	27.0	27	0.0	60.667	60	0.667	6.120000000000001	53.76
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_51	Οὐόλας κόλπος (Ouolas kolpos)	29.0	29	0.0	60.5	60	0.5	7.559999999999999	53.64
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_52	Ναβάρου ποταμοῦ ἐκβολαί (Nabarou potamou ekbolai)	30.0	30	0.0	60.5	60	0.5	8.280000000000001	53.64
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.1/	Europe	albion	paralios	pt_ll_53	Ταρουεδοὺμ ἡ καὶ Ὀρκὰς ἄκρα (Tarouedoum hē kai Orkas akra)	31.333	31	0.333	60.25	60	0.25	9.239999999999998	53.46
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_5761	τὴν τῶν Νοουαντῶν χερσόνησον (tēn tōn Noouantōn khersonēson)	20.0	20	0.0	61.667	61	0.667	1.08	54.48
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_54	Ἀβραουάννου ποταμοῦ ἐκβολαί (Abraouannou potamou ekbolai)	19.333	19	0.333	61.0	61	0.0	0.5999999999999996	54.0
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_55	Ἰηνᾶ εἴσχυσις (Iēna eiskhusis)	19.0	19	0.0	60.5	60	0.5	0.35999999999999943	53.64
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_56	Δηούα ποταμοῦ ἐκβολαί (Dēoua potamou ekbolai)	18.0	18	0.0	60.0	60	0.0	-0.35999999999999943	53.28
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_57	Νοουίου ποταμοῦ ἐκβολαί (Noouiou potamou ekbolai)	18.333	18	0.333	59.5	59	0.5	-0.120000000000001	52.92
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_58	Ἰτούνα εἴσχυσις (Itouna eiskhusis)	18.5	18	0.5	58.75	58	0.75	0.0	52.379999999999995
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_59	Μορικάμβη εἴσχυσις (Morikambē eiskhusis)	17.5	17	0.5	58.333	58	0.333	-0.7200000000000006	52.08
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_60	Σεταντίων λιμήν (Setantiōn limēn)	17.333	17	0.333	57.75	57	0.75	-0.8399999999999999	51.66
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_61	Βελισάμα εἴσχυσις (Belisama eiskhusis)	17.5	17	0.5	57.333	57	0.333	-0.7200000000000006	51.36
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_62	Σετηία εἴσχυσις (Setēia eiskhusis)	17.0	17	0.0	57.0	57	0.0	-1.08	51.12
http://neelsmith.info/current-projects/geography/ptolemy-geography/geography-2.3.2/	Europe	albion	paralios	pt_ll_63	Καιαγγανῶν ἄκρον (Kaiagganōn akron)	15.0	15	0.0	56.0	56	0.0	-2.5199999999999996	50.4
